id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
591,109-99-9
592,109-99-9
593,108-88-3
594,67-56-1,108-88-3
595,123-91-1
596,60-29-7
597,60-29-7
598,109-99-9,110-54-3
599,67-56-1,108-88-3
600,108-88-3,110-80-5
601,108-88-3,110-80-5
602,123-91-1
603,108-88-3
604,108-88-3
605,108-88-3
606,108-88-3,60-29-7,7732-18-5
607,108-88-3
608,108-88-3
609,108-88-3,111-65-9
610,109-99-9
611,109-99-9
612,108-88-3,7732-18-5
613,67-56-1,108-88-3
614,109-99-9
615,108-88-3,109-99-9
616,109-99-9
617,108-88-3,109-99-9
618,108-88-3
619,108-88-3,7732-18-5
620,108-88-3,7732-18-5
621,108-88-3,7732-18-5
622,109-99-9
623,110-71-4
624,108-88-3
625,108-88-3
626,123-91-1
627,109-99-9,127-19-5
628,123-91-1
629,108-88-3
630,109-99-9
631,109-99-9
632,123-91-1
633,123-91-1
634,109-99-9,68-12-2
635,127-19-5
636,872-50-4
637,110-82-7,127-19-5
638,109-99-9,68-12-2
639,110-71-4,5614-37-9
640,123-91-1
641,123-91-1
642,127-19-5
643,75-05-8,127-19-5
644,75-05-8,127-19-5
645,60-29-7,109-99-9
646,127-19-5
647,109-99-9,127-19-5
648,109-99-9,127-19-5
649,109-99-9,127-19-5
650,109-99-9,127-19-5
651,108-20-3,127-19-5
652,108-20-3,127-19-5
653,108-88-3
654,108-88-3
655,68-12-2
656,64-17-5
657,64-17-5
658,64-17-5
659,64-17-5
660,108-88-3
661,67-56-1,108-88-3
662,75-05-8
663,108-20-3
664,109-99-9
665,108-88-3,110-80-5
666,108-88-3
667,67-56-1,108-88-3,75-09-2
668,75-65-0
669,115-10-6
670,108-88-3
671,141-78-6
672,67-56-1,108-88-3
673,141-78-6
674,67-56-1,108-88-3,75-09-2
675,108-88-3,110-71-4,7732-18-5
676,108-88-3,110-71-4,7732-18-5
677,872-50-4,7732-18-5
678,109-99-9,142-82-5
679,109-99-9,142-82-5,7732-18-5
680,109-99-9,142-82-5,7732-18-5
681,108-88-3,7732-18-5
682,108-88-3
683,108-88-3
684,108-88-3
685,108-88-3
686,5614-37-9
687,109-99-9
688,123-91-1
689,123-91-1
690,123-91-1
691,123-91-1
692,123-91-1
693,109-99-9
694,123-91-1
695,109-99-9,127-19-5
696,109-99-9,75-09-2,141-78-6,7732-18-5
697,127-19-5
698,123-91-1
699,123-91-1,127-19-5,60-29-7,7732-18-5
700,110-71-4
701,123-91-1
702,75-05-8
703,110-71-4
704,123-91-1
705,109-99-9,68-12-2
