"CAS_n","Check?","ChemNames","SMILES"
"15933-59-2","NO","1,1,3,3-Tetramethyldisilazane","C[Si](C)N[Si](C)C"
"77-73-6","NO","Dicyclopentadiene","C1C=CC2C1C3CC2C=C3"
"106-51-4","NO","1,4-Benzoquinone","C1=CC(=O)C=CC1=O"
"124-41-4","YES","Ethyl 2-(2-cyanophenoxy)acetate","CCOC(=O)COC1=CC=CC=C1C#N"
"29429-58-1","YES",NA,NA
"7789-20-0","NO","Deuterium oxide","O"
"554-68-7","NO","Triethylamine hydrochloride","CCN(CC)CC.Cl"
"7439-95-4","YES","Magnesium ion","[Mg+2]"
"60-29-7","NO","Diethyl Ether","CCOCC"
"910037-63-7","YES","Isopropoxy(phenyl)silane","CC(C)O[Si]C1=CC=CC=C1"
"7782-61-8","NO","Iron(III) nitrate nonahydrate","[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.O.O.O.[Fe+3]"
"931-88-4","NO","Cyclooctene","C1CCCC=CCC1"
"1004-09-7","YES",NA,NA
"616-47-7","NO","1-Methylimidazole","CN1C=CN=C1"
"7732-18-5","NO","Water","O"
"930-68-7","NO","2-Cyclohexen-1-one","C1CC=CC(=O)C1"
"108-67-8","NO","Mesitylene","CC1=CC(=CC(=C1)C)C"
"121-44-8","NO","Triethylamine","CCN(CC)CC"
"7699-45-8","NO","Zinc bromide (ZnBr2)","[Zn](Br)Br"
"1907-33-1","NO","Lithium tert-butoxide","[Li+].CC(C)(C)[O-]"
"12125-02-9","NO","Ammonium Chloride","[NH4+].[Cl-]"
"107-05-1","NO","Allyl chloride","C=CCCl"
"142-71-2","NO","Cupric acetate","CC(=O)[O-].CC(=O)[O-].[Cu+2]"
"7631-86-9","NO","Silicon Dioxide","O=[Si]=O"
"429-42-5","NO","Tetrabutylammonium tetrafluoroborate","[B-](F)(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC"
"290-37-9","NO","Pyrazine","C1=CN=CC=N1"
"680192-98-7","YES",NA,NA
"2376471-02-0","YES",NA,NA
"7681-11-0","NO","Potassium Iodide","[K+].[I-]"
"7647-01-0","NO","Hydrochloric Acid","Cl"
"7143-01-3","NO","Methanesulfonic anhydride","CS(=O)(=O)OS(=O)(=O)C"
