"CAS_n","Check?","ChemNames","SMILES"
"381-73-7","NO","Difluoroacetic acid","C(C(=O)O)(F)F"
"7719-09-7","NO","Thionyl chloride","O=S(Cl)Cl"
"102-82-9","NO","Tributylamine","CCCCN(CCCC)CCCC"
"7601-54-9","NO","Trisodium phosphate","[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]"
"80-70-6","NO","1,1,3,3-Tetramethylguanidine","CN(C)C(=N)N(C)C"
"144-55-8","NO","Sodium bicarbonate","C(=O)(O)[O-].[Na+]"
"13826-27-2","NO","4,5-Dihydro-2,2'-bibenzo[d][1,3,2]dioxaborole","B1(OC2=C(O1)C=CCC2)B3OC4=CC=CC=C4O3"
"4039-32-1","NO","Lithium bis(trimethylsilyl)amide","[Li+].C[Si](C)(C)[N-][Si](C)(C)C"
"2166-14-5","YES","Dimethyl 1,2,4,5-tetrazine-3,6-dicarboxylate","COC(=O)C1=NN=C(N=N1)C(=O)OC"
"524-38-9","NO","N-Hydroxyphthalimide","C1=CC=C2C(=C1)C(=O)N(C2=O)O"
"173962-59-9","YES","4-methyl-N-hydroxyphthalimide","CC1=CC2=C(C=C1)C(=O)N(C2=O)O"
"2226728-58-9","YES","2-(1,3-Dioxoisoindolin-2-yl)-1,1,3,3-tetramethylisouronium hexafluorophosphate(V)","CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2C1=O.F[P-](F)(F)(F)(F)F"
"56859-55-3","YES","2,2,2-Trifluoroethoxytrimethylsilane","C[Si](C)(C)OCC(F)(F)F"
"63212-53-3","NO","2-Chloro-3-ethylbenzoxazolium tetrafluoroborate","[B-](F)(F)(F)F.CC[N+]1=C(OC2=CC=CC=C21)Cl"
"7447-41-8","NO","Lithium chloride","[Li+].[Cl-]"
"1873-77-4","NO","Tris(trimethylsilyl)silane","C[Si](C)(C)[Si]([Si](C)(C)C)[Si](C)(C)C"
"164298-23-1","NO","Fluoro-N,N,N',N'-tetramethylformamidinium hexafluorophosphate","CN(C)C(=[N+](C)C)F.F[P-](F)(F)(F)(F)F"
"27175-64-0","NO","2,3-Dimethylpyridine","CC1=C(N=CC=C1)C"
"373-68-2","NO","Tetramethylammonium fluoride","C[N+](C)(C)C.[F-]"
"10377-51-2","NO","Lithium iodide","[Li+].[I-]"
"13292-87-0","NO","Dimethyl sulfide borane","[B].CSC"
"7182-86-7","NO","Tetrabutylammonium 4-toluenesulfonate","CCCC[N+](CCCC)(CCCC)CCCC.CC1=CC=C(C=C1)S(=O)(=O)[O-]"
"7789-46-0","NO","Iron dibromide","[Fe+2].[Br-].[Br-]"
"1068-55-9","NO","Magnesium, chloro(1-methylethyl)-","C[CH-]C.[Mg+2].[Cl-]"
"1310-58-3","NO","Potassium hydroxide","[OH-].[K+]"
"109-06-8","NO","2-Methylpyridine","CC1=CC=CC=N1"
"25377-83-7","NO","1-Octene","CCCCCCC=C"
"7553-56-2","NO","Iodine","II"
"27176-10-9","NO","Potassium phosphate tribasic monohydrate","O.[O-]P(=O)([O-])[O-].[K+].[K+].[K+]"
"16881-77-9","NO","Methyldimethoxysilane","CO[Si](C)OC"
"304-59-6","NO","Sodium potassium tartrate","C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+]"
"1600-44-8","NO","Tetramethylene sulfoxide","C1CCS(=O)C1"
"25436-74-2","YES","Tris(triethylsilyl)silane","CC[Si](CC)(CC)[Si]([Si](CC)(CC)CC)[Si](CC)(CC)CC"
"29965-97-7","NO","1,3-Cyclooctadiene","C1CCC=CC=CC1"
"139-33-3","NO","Edetate disodium","C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+]"
"766-09-6","NO","1-Ethylpiperidine","CCN1CCCCC1"
"17950-94-6","NO","Diphenyl(silane-d2)","C1=CC=C(C=C1)[SiH2]C2=CC=CC=C2"
