id,smilesRXN,c1,c2,c3,c4,r1,r2,r3,r4,s1,s2,s3,s4,y1
116,C(=C/C1=CC=CC=C1)\C1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)C(CC1=CC=CC=C1)C1=CC=CC=C1,865-47-4,736928-75-9,,,7782-44-7,,,,109-99-9,75-09-2,,,96
117,C(=C/C1=CC=CC=C1)\C1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)C(CC1=CC=CC=C1)C1=CC=CC=C1,21373-88-6,,,,7758-89-6,,,,109-99-9,75-09-2,,,91
118,CCC#CCC.CC1(C)OBOC1(C)C>>CC\C=C(/CC)B1OC(C)(C)C(C)(C)O1,865-47-4,736928-75-9,,,75-09-2,,,,109-99-9,,,,96
119,C=CCC1CCC=CC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCC=CC2)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,96
120,CC1(C)OBOC1(C)C.CC(C)(C)[Si](OCCCCC=C)(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)(C)[Si](OCCCCCCB1OC(C)(C)C(C)(C)O1)(C1=CC=CC=C1)C1=CC=CC=C1,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,96
121,CC1(C)OBOC1(C)C.CC(C)(C)[Si](OCCCCC=C)(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)(C)[Si](OCCCCCCB1OC(C)(C)C(C)(C)O1)(C1=CC=CC=C1)C1=CC=CC=C1,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,96
122,CC1(C)OBOC1(C)C.CC(C)(C)[Si](CCCCC=C)(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)(C)[Si](OCCCCCCB1OC(C)(C)C(C)(C)O1)(C1=CC=CC=C1)C1=CC=CC=C1,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,96
123,COC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>COC1=CC=C(CCB2OC(C)(C)C(C)(C)O2)C=C1,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,96
124,COC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>COC1=CC=C(CCB2OC(C)(C)C(C)(C)O2)C=C1,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,96
125,COC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>COC1=CC=C(CCB2OC(C)(C)C(C)(C)O2)C=C1,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,96
126,COC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>COC1=CC=C(CCB2OC(C)(C)C(C)(C)O2)C=C1,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,92
127,ClCCCCC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCCCCCl)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,96
128,ClCCCCC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCCCCCl)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,96
129,ClCCCCCC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCCCCCl)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,96
130,CC1=CC=CC(C=C)=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=CC(CC(B2OC(C)(C)C(C)(C)O2)(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)=C1,17979-81-6,1600527-14-7,,,7782-44-7,,,,109-66-0,109-99-9,,,96
131,C#CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)\C=C\C1=CC=CC=C1,2097731-28-5,,,,,,,,1076-43-3,,,,96
