"id","smilesRXN","c1","c2","c3","c4","r1","r2","r3","r4","s1","s2","s3","s4","y1"
50,"CN1C=CC2=CC=CC=C12.CC1(C)OBOC1(C)C>>CN1C(=CC2=CC=CC=C12)B1OC(C)(C)C(C)(C)O1","C1=CC=2C(=[N](C3CCCCC3)[Co+]4([N]2C(=C1)C(=[N]4C5CCCCC5)C)[CH3-])C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,98
51,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC1=CC=CC(=C1)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CC2=CC=CC(=C2)B2OC(C)(C)C(C)(C)O2)OC1(C)C","[B]1OC(C(O1)(C)C)(C)C","O=C([O-][Co+2]1([O-]C(=O)C(CC)CCCC)[N](=C(C(=[N]1C2CCCCC2)C)C)C3CCCCC3)C(CC)CCCC",NA,"","O=O","CCN(CC)CC","O=[Si]=O",NA,"COC1CCCC1",NA,NA,NA,98
52,"CC(C)(C)C=C.CC1(C)OBOC1(C)C>>CC(C)(C)CCB1OC(C)(C)C(C)(C)O1","[N-]1C(C=2C=CC=CC2)=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+2]([N-]([Si](C)(C)C)[Si](C)(C)C)[P]1(C(C)(C)C)C(C)(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,98
53,"CC(C)(C)C=C.CC1(C)OBOC1(C)C>>CC(C)(C)CCB1OC(C)(C)C(C)(C)O1","[N-]1C(C=2C=CC=CC2)=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+2]([N-]([Si](C)(C)C)[Si](C)(C)C)[P]1(C(C)(C)C)C(C)(C)C",NA,NA,"","O=O",NA,NA,NA,NA,NA,NA,NA,98
54,"CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1","[N-]1C(C=2C=CC=CC2)=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+2]([N-]([Si](C)(C)C)[Si](C)(C)C)[P]1(C(C)(C)C)C(C)(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,98
55,"CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1","[N-]1C(C=2C=CC=CC2)=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+2]([N-]([Si](C)(C)C)[Si](C)(C)C)[P]1(C(C)(C)C)C(C)(C)C",NA,NA,"","O=O",NA,NA,NA,NA,NA,NA,NA,98
56,"CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,NA,"","[B-](CC)(CC)CC.[Na+]","O=O",NA,NA,"C1CCOC1",NA,NA,NA,95
57,"CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,"","O=O",NA,NA,NA,"CC1=CC=CC=C1","C1CCOC1",NA,NA,91
58,"CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1","C=1C=CC(=CC1)[P]2(C=3C=CC=CC3)C=4C=CC=CC4[NH-][Co+2]56782C=9(C)C8(C)=C7(C)[C-]6(C)C95C",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,89
59,"C[Si](C)(C)CC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC[Si](C)(C)C)OC1(C)C","[N-]1C(C=2C=CC=CC2)=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+2]([N-]([Si](C)(C)C)[Si](C)(C)C)[P]1(C(C)(C)C)C(C)(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,98
60,"C[Si](C)(C)CC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC[Si](C)(C)C)OC1(C)C","[N-]1C(C=2C=CC=CC2)=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+2]([N-]([Si](C)(C)C)[Si](C)(C)C)[P]1(C(C)(C)C)C(C)(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,98
