,IncNodePurity,Features
RCTB_241,238.151887806085,RCTB_241
CAT_125,237.449301724259,CAT_125
RCTB_NumHeteroatoms,230.968835245723,RCTB_NumHeteroatoms
RCTB_162,230.826392046763,RCTB_162
CAT_63,230.705733099626,CAT_63
PRO_105,227.940453477706,PRO_105
CAT_152,227.363514240145,CAT_152
RCTA_BCUT2D_LOGPHI,222.675262367373,RCTA_BCUT2D_LOGPHI
RCTB_163,217.694441962657,RCTB_163
RCTB_SlogP_VSA1,217.473389256176,RCTB_SlogP_VSA1
CAT_fr_Ar_N,216.94379189606,CAT_fr_Ar_N
PRO_NumSaturatedRings,216.588735876657,PRO_NumSaturatedRings
CAT_81,214.764774527269,CAT_81
CAT_EState_VSA8,212.284513861162,CAT_EState_VSA8
RCTB_141,207.407082139973,RCTB_141
PRO_NumSaturatedHeterocycles,206.218001547991,PRO_NumSaturatedHeterocycles
CAT_59,205.839448920766,CAT_59
CAT_fr_pyridine,202.819820307896,CAT_fr_pyridine
CAT_186,197.973351457228,CAT_186
RCTB_EState_VSA6,197.36604101521,RCTB_EState_VSA6
RCTB_VSA_EState9,197.271257516806,RCTB_VSA_EState9
PRO_fr_allylic_oxid,196.799842219167,PRO_fr_allylic_oxid
CAT_fr_benzene,196.497554968102,CAT_fr_benzene
PRO_NumAliphaticRings,195.494015044346,PRO_NumAliphaticRings
PRO_79,195.214602336977,PRO_79
RCTB_SMR_VSA3,192.379595897341,RCTB_SMR_VSA3
RCTB_233,191.173174450651,RCTB_233
CAT_NOCount,190.346948856225,CAT_NOCount
CAT_67,187.324671386236,CAT_67
RCTB_SlogP_VSA8,187.026531292754,RCTB_SlogP_VSA8
RCTB_212,186.920078347734,RCTB_212
PRO_SMR_VSA3,186.294674987672,PRO_SMR_VSA3
CAT_38,183.878193320942,CAT_38
CAT_SlogP_VSA12,181.839538166877,CAT_SlogP_VSA12
RCTB_EState_VSA10,178.961831686949,RCTB_EState_VSA10
PRO_182,177.618614258049,PRO_182
CAT_1,174.724604077396,CAT_1
CAT_27,173.813879597509,CAT_27
RCTA_BCUT2D_CHGHI,173.549970629871,RCTA_BCUT2D_CHGHI
CAT_166,172.220680539689,CAT_166
CAT_fr_C_O_noCOO,171.474941666006,CAT_fr_C_O_noCOO
CAT_fr_NH0,167.418750266111,CAT_fr_NH0
RCTA_FpDensityMorgan1,167.145597366474,RCTA_FpDensityMorgan1
PRO_180,166.33614745484,PRO_180
PRO_SlogP_VSA1,166.298754858209,PRO_SlogP_VSA1
RCTB_SlogP_VSA10,165.901422822487,RCTB_SlogP_VSA10
RCTA_BCUT2D_CHGLO,163.924622370185,RCTA_BCUT2D_CHGLO
CAT_122,161.967487285551,CAT_122
CAT_NumAromaticHeterocycles,161.453080937662,CAT_NumAromaticHeterocycles
PRO_PEOE_VSA2,161.290637987379,PRO_PEOE_VSA2
CAT_EState_VSA2,158.335081803168,CAT_EState_VSA2
RCTA_qed,156.531772721366,RCTA_qed
PRO_RingCount,156.064321656294,PRO_RingCount
PRO_249,154.825326721621,PRO_249
