,IncNodePurity,Features
RCTB_fr_methoxy,259.930959851189,RCTB_fr_methoxy
PRO_40,259.769397417401,PRO_40
RCTA_SMR_VSA6,258.895433804523,RCTA_SMR_VSA6
PRO_fr_benzene,258.40728937696,PRO_fr_benzene
RCTB_67,257.087953317613,RCTB_67
RCTB_218,256.452456434721,RCTB_218
RCTB_PEOE_VSA4,256.217862474773,RCTB_PEOE_VSA4
RCTA_PEOE_VSA14,254.07148197021,RCTA_PEOE_VSA14
PRO_237,253.937123668638,PRO_237
RCTB_49,253.390785573255,RCTB_49
PRO_107,249.000045718281,PRO_107
CAT_PEOE_VSA9,247.22147618054,CAT_PEOE_VSA9
RCTB_11,246.471837701605,RCTB_11
RCTB_163,246.21695893891,RCTB_163
RCTB_NumAliphaticRings,245.19458701064,RCTB_NumAliphaticRings
RCTB_206,244.484539515448,RCTB_206
PRO_93,243.906274861429,PRO_93
PRO_119,242.406200531336,PRO_119
RCTB_66,240.706666955073,RCTB_66
PRO_11,238.548911505418,PRO_11
RCTB_NumAromaticHeterocycles,238.529544656126,RCTB_NumAromaticHeterocycles
RCTB_216,238.130921072885,RCTB_216
RCTB_107,236.886277416501,RCTB_107
CAT_HeavyAtomCount,236.839477557303,CAT_HeavyAtomCount
CAT_Chi0,235.740035063328,CAT_Chi0
RCTB_NumHDonors,235.190772820951,RCTB_NumHDonors
CAT_SlogP_VSA6,233.833829637585,CAT_SlogP_VSA6
RCTB_fr_C_O,232.815513521972,RCTB_fr_C_O
PRO_139,230.853021769716,PRO_139
CAT_Chi0n,230.251414196108,CAT_Chi0n
CAT_NumValenceElectrons,229.459039235741,CAT_NumValenceElectrons
RCTB_149,228.237087729895,RCTB_149
PRO_219,226.89907176886,PRO_219
PRO_64,226.643113168608,PRO_64
CAT_BertzCT,226.619559509411,CAT_BertzCT
RCTB_fr_benzene,226.524093850829,RCTB_fr_benzene
RCTB_105,226.475567085237,RCTB_105
CAT_EState_VSA1,226.004264986656,CAT_EState_VSA1
RCTB_251,224.628788583414,RCTB_251
RCTB_50,224.339720534729,RCTB_50
PRO_111,224.02798517367,PRO_111
RCTB_151,222.072540233213,RCTB_151
PRO_NumHDonors,221.578793345492,PRO_NumHDonors
CAT_NOCount,221.208296706272,CAT_NOCount
PRO_181,220.899000816282,PRO_181
RCTB_fr_C_O_noCOO,219.422354165805,RCTB_fr_C_O_noCOO
CAT_RingCount,214.767898835066,CAT_RingCount
PRO_28,214.442891119842,PRO_28
PRO_SlogP_VSA11,213.131906296692,PRO_SlogP_VSA11
RCTB_208,212.508400529734,RCTB_208
PRO_141,212.471019145663,PRO_141
CAT_NumRotatableBonds,212.451860525856,CAT_NumRotatableBonds
PRO_29,212.401595578186,PRO_29
RCTB_136,212.358410422583,RCTB_136
PRO_PEOE_VSA3,210.860909893156,PRO_PEOE_VSA3
CAT_SlogP_VSA1,210.741397906326,CAT_SlogP_VSA1
PRO_125,210.73606186209,PRO_125
PRO_38,208.458326592957,PRO_38
CAT_VSA_EState3,207.323021611733,CAT_VSA_EState3
RCTB_193,205.818873881746,RCTB_193
RCTB_80,205.255252975425,RCTB_80
RCTB_239,204.949143938891,RCTB_239
PRO_15,203.621853547341,PRO_15
RCTB_110,202.193848887952,RCTB_110
PRO_157,202.02697353517,PRO_157
PRO_58,201.271038223325,PRO_58
PRO_39,200.952119416021,PRO_39
RCTB_33,200.871682271089,RCTB_33
RCTB_90,199.340724377832,RCTB_90
RCTB_187,198.48086862505,RCTB_187
RCTA_SlogP_VSA12,197.728569494,RCTA_SlogP_VSA12
CAT_SlogP_VSA5,197.233701879584,CAT_SlogP_VSA5
RCTB_141,197.104399034383,RCTB_141
PRO_44,196.892646821696,PRO_44
CAT_Chi1n,195.502057621872,CAT_Chi1n
RCTA_TPSA,195.182693365945,RCTA_TPSA
RCTB_fr_aniline,193.621438650555,RCTB_fr_aniline
RCTB_86,192.487144209935,RCTB_86
PRO_65,191.801604641952,PRO_65
RCTB_233,191.455058851934,RCTB_233
RCTB_NumAromaticCarbocycles,190.368287880029,RCTB_NumAromaticCarbocycles
PRO_fr_halogen,190.259613453407,PRO_fr_halogen
RCTB_fr_NH0,190.038697862579,RCTB_fr_NH0
CAT_SMR_VSA5,189.80944173817,CAT_SMR_VSA5
PRO_161,189.376367187265,PRO_161
PRO_136,189.274946498799,PRO_136
CAT_PEOE_VSA7,189.201820542704,CAT_PEOE_VSA7
CAT_SMR_VSA7,188.782359217803,CAT_SMR_VSA7
RCTB_161,188.704025327606,RCTB_161
PRO_128,187.87547304111,PRO_128
RCTB_96,187.107160545295,RCTB_96
RCTB_13,186.794104048768,RCTB_13
RCTA_NumHeteroatoms,186.79246017935,RCTA_NumHeteroatoms
RCTB_73,186.613069247212,RCTB_73
RCTB_109,184.944975927738,RCTB_109
PRO_PEOE_VSA2,184.5261232729,PRO_PEOE_VSA2
PRO_122,184.270688455767,PRO_122
PRO_80,184.228655634482,PRO_80
RCTB_NumSaturatedRings,184.143943489897,RCTB_NumSaturatedRings
PRO_186,183.524954558184,PRO_186
RCTB_48,182.906013111649,RCTB_48
PRO_89,182.471640838841,PRO_89
PRO_27,181.556504858206,PRO_27
RCTB_130,181.266207660533,RCTB_130
RCTB_138,180.475444540187,RCTB_138
PRO_140,179.322427509467,PRO_140
RCTB_fr_alkyl_halide,177.616224836226,RCTB_fr_alkyl_halide
RCTB_203,176.874523288597,RCTB_203
PRO_145,176.138186796417,PRO_145
PRO_8,174.898382749928,PRO_8
PRO_216,174.333161422344,PRO_216
PRO_158,174.30038421819,PRO_158
PRO_31,173.948580829901,PRO_31
RCTB_113,173.733631822232,RCTB_113
RCTB_94,173.715212038532,RCTB_94
